"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","ACCOUNTING_ENTRY","INDICATOR","SECTOR","COUNTERPART_SECTOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2022","2023","2024"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.COL.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Colombia","Annual","Millions","108.716527413495","243.864314935147","411.219956635847"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.DNK.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Denmark","Annual","Millions","2327.959611026649","2495.885658368793","1945.988324070056"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.JPN.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Japan","Annual","Millions","15836.30636517904","13893.19495030653","11846.38448183211"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.IRL.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Ireland","Annual","Millions","14706.2808","17587.18","16173.5952"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.NLD.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Netherlands, The","Annual","Millions","13963.9272","14832.415","12393.0381"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.CZE.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Czech Republic","Annual","Millions","141.9349133356915","127.1898462638541","101.1263770268598"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.LBN.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Lebanon","Annual","Millions","4.249744151031509","4.51134958","1.79185189"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.BEL.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Belgium","Annual","Millions","2208.928600000001","888.4199999999999","730.3467000000001"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.POL.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Poland, Republic of","Annual","Millions","163.5694488618293","96.06099110546379","124.110016580513"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.SAU.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Saudi Arabia","Annual","Millions","1326.936093233787","1245.763264409635","1616.229426317659"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.KAZ.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Kazakhstan, Republic of","Annual","Millions","1465.27073890176","1682.42834304697","1570.41452473295"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.FIN.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Finland","Annual","Millions","606.8954000000002","483.9899999999999","457.116"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.SLV.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","El Salvador","Annual","Millions","0","0","0"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.CRI.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Costa Rica","Annual","Millions","27.3196856690278","116.163148852983","48.0291983222165"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.PRT.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Portugal","Annual","Millions","238.9717300000001","226.9007","255.496677"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.BLR.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Belarus, Republic of","Annual","Millions","0","0","0"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.AUS.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Australia","Annual","Millions","2741.165000000003","3590.999999999993","2810.084000000004"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.HND.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Honduras","Annual","Millions","22.22171567","24.5267732382386","4.71799799752409"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.KOR.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Korea, Republic of","Annual","Millions","1406.2","1545.4","1197.4"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.URY.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Uruguay","Annual","Millions","126.951481245901","118.144540761959","123.253050666813"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.BRB.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Barbados","Annual","Millions","25.77768697620995","28.05781174931985",""
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.ARG.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Argentina","Annual","Millions","115.903473645939","224.115832826726","327.585187034828"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.GGY.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Guernsey","Annual","Millions","100.108542530402","139.459354841847","105.13354768"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.MKD.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","North Macedonia, Republic of","Annual","Millions","0","0","0"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.AUT.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Austria","Annual","Millions","850.0802000000002","826.5399999999999","746.9691000000001"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.ZAF.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","South Africa","Annual","Millions","32.12986139999991","45.24554739999989","39.10591649999991"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.CHE.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Switzerland","Annual","Millions","5062.102093326556","5391.916033099404","4779.932814433554"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.LUX.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Luxembourg","Annual","Millions","30325.25095548321","32435.67019744999","25257.9332746902"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.SVN.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Slovenia, Republic of","Annual","Millions","71.15395260000002","54.12179499999999","47.9338071"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.IND.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","India","Annual","Millions","0.01207930790397433","0","0"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.MNG.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Mongolia","Annual","Millions","0.63027829","0","0"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.BRA.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Brazil","Annual","Millions","3253.575594","5639.90363383","4038.46983857"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.TX093.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","SEFER + SSIO","Annual","Millions","4807.607213","4389.939743","2872.758856"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.JEY.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Jersey","Annual","Millions","79.64879999999997","441.9218500000002","56.45475"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.CAN.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Canada","Annual","Millions","7347.643902080423","12409.11147986122","11007.65483646486"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.SGP.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Singapore","Annual","Millions","","",""
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.MLT.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Malta","Annual","Millions","","",""
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.TUR.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Türkiye, Republic of","Annual","Millions","4.456789","4.133813","5.030257"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.USA.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","United States","Annual","Millions","144815","162599","138540"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.ISL.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Iceland","Annual","Millions","0.6048888387074064","0.7404455","2.179986943892909"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.CYM.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Cayman Islands","Annual","Millions","10498.94718555","15931.09016115","20628.60442005"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.ITA.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Italy","Annual","Millions","5113.335799204001","5482.086195689999","5852.406202882501"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.GBR.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","United Kingdom","Annual","Millions","13548.14019999999","16301.94942000001","16197.99687"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.CHL.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Chile","Annual","Millions","3508.46986442356","3628.64222757728","3165.00760033973"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.BOL.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Bolivia","Annual","Millions","","3.00327999799574","11.05403"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.DEU.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Germany","Annual","Millions","11063.8418","10987.015","10379.6499"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.BGD.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Bangladesh","Annual","Millions","","","0"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.MAC.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Macao Special Administrative Region, People's Republic of China","Annual","Millions","183.0064059399562","214.1720967027266","219.076290411494"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.HKG.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Hong Kong Special Administrative Region, People's Republic of China","Annual","Millions","","",""
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.FRA.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","France","Annual","Millions","6074.114210800002","7315.521004999999","5809.649312400001"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.LTU.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Lithuania, Republic of","Annual","Millions","22.66525000000001","23.9122","21.577953"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.PAN.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Panama","Annual","Millions","463.042231704972","373.701539997886","299.235300099048"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.MYS.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Malaysia","Annual","Millions","472.9156561228189","809.7397216269193","902.4945990604027"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.NOR.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Norway","Annual","Millions","4550.101419878296","6228.416912487709","6955.066079295154"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.GRC.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Greece","Annual","Millions","132.2584","150.28","150.6405"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.SWE.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Sweden","Annual","Millions","1254.591313187498","1619.761790949649","1151.325034678465"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.THA.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Thailand","Annual","Millions","317.855904","342.293543","450.814073"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.ESP.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Spain","Annual","Millions","4610.911800000001","5459.804999999999","4975.2921"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.KOS.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Kosovo, Republic of","Annual","Millions","2.346520000000001","3.038573979536714","1.437870727059998"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.CYP.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Cyprus","Annual","Millions","61.90800267865602","49.72172104509999","56.84784715119601"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.CHN.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","China, People's Republic of","Annual","Millions","564.92374007","606.70239386","481.46664637"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.EGY.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Egypt, Arab Republic of","Annual","Millions","","","24.2"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.ISR.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Israel","Annual","Millions","311","120","135"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.ROU.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Romania","Annual","Millions","0.1886023769480001","0.7963788371499999","1.525769732385"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.ABW.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Aruba, Kingdom of the Netherlands","Annual","Millions","4.63988015642458","2.20412808379888","2.20412808379888"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.CWX.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Curaçao and Sint Maarten","Annual","Millions","6.4614","3.08766",""
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.BGR.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Bulgaria","Annual","Millions","262.0645033226695","281.095273442491","340.4773971154048"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.ALB.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Albania","Annual","Millions","25.06475226699766","26.7015425637641","29.55884995023538"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.BHS.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Bahamas, The","Annual","Millions","27","-9","5"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.UKR.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Ukraine","Annual","Millions","1.8","1.951652","1.720352"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.MUS.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Mauritius","Annual","Millions","2","1","3"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.LVA.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Latvia, Republic of","Annual","Millions","85.32800000000002","58.56499999999999","49.8672"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.BHR.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Bahrain, Kingdom of","Annual","Millions","123.2","137.4","153.7"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.GIB.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Gibraltar","Annual","Millions","2.003287999999999","","1.25455"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.NAM.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Namibia","Annual","Millions","","","2.29365411834798"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.SVK.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Slovak Republic","Annual","Millions","79.99500000000002","58.56499999999999","40.5171"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.BMU.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Bermuda","Annual","Millions","3302.15478650347","3297.00124790101","3559.6024512235"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.HUN.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Hungary","Annual","Millions","34.25521720613288","57.79067082323057","84.44105691056911"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.IDN.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Indonesia","Annual","Millions","0.367189490187276","0.33771369317961","0.0519728638980009"
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.PHL.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Philippines","Annual","Millions","","171.81686106",""
"IMF.STA:PIP(5.0.0)","MEX.L.P_TOTINV_P_SCC_USD.S1.S1.EST.A","OBS_VALUE","Mexico","Liabilities","Portfolio investment, Total investment, Positions, Derived using counterparty information","Total economy","Total economy","Estonia, Republic of","Annual","Millions","26.02086639420001","30.38902269","28.2030577782"
